techs,demand_heatpump_E3B,demand_heatpump_E3C,demand_heatpump_E1A,demand_heatpump_E3B,demand_heatpump_E2A,demand_heatpump_E3C,demand_heatpump_E2A,demand_heatpump_E2A,demand_heatpump_E2A,demand_heatpump_E3C,demand_heatpump_E3C
nodes,Amp_125,Amp_160,Amp_25,Amp_250,Amp_35,Amp_400,Amp_50,Amp_63,Amp_80,kVA_630,VD_Lem
2019-09-01 00:00:00,1.57,0.43,2.28,3.70,2.44,0.42,1.88,2.85,3.39,3.33,3.33
2019-09-01 01:00:00,1.64,0.45,2.37,3.86,2.54,0.44,1.96,2.98,3.53,3.48,3.48
2019-09-01 02:00:00,1.48,0.41,2.15,3.49,2.30,0.40,1.77,2.69,3.20,3.14,3.14
2019-09-01 03:00:00,1.92,0.53,2.79,4.53,2.98,0.51,2.30,3.49,4.15,4.08,4.08
2019-09-01 04:00:00,1.91,0.53,2.76,4.49,2.96,0.51,2.28,3.46,4.11,4.05,4.05
2019-09-01 05:00:00,1.73,0.48,2.50,4.07,2.68,0.46,2.06,3.14,3.73,3.67,3.67
2019-09-01 06:00:00,1.66,0.46,2.40,3.91,2.57,0.44,1.98,3.01,3.58,3.52,3.52
2019-09-01 07:00:00,1.57,0.43,2.27,3.69,2.43,0.42,1.87,2.85,3.38,3.32,3.32
2019-09-01 08:00:00,1.42,0.39,2.07,3.35,2.21,0.38,1.70,2.59,3.07,3.02,3.02
2019-09-01 09:00:00,1.61,0.44,2.34,3.80,2.50,0.43,1.93,2.93,3.48,3.42,3.42
2019-09-01 10:00:00,1.72,0.47,2.50,4.06,2.67,0.46,2.06,3.13,3.72,3.65,3.65
2019-09-01 11:00:00,1.69,0.47,2.45,3.97,2.62,0.45,2.02,3.07,3.64,3.58,3.58
2019-09-01 12:00:00,1.55,0.43,2.25,3.65,2.41,0.41,1.85,2.82,3.35,3.29,3.29
2019-09-01 13:00:00,1.34,0.37,1.94,3.15,2.08,0.36,1.60,2.43,2.89,2.84,2.84
2019-09-01 14:00:00,1.32,0.36,1.91,3.11,2.05,0.35,1.58,2.40,2.85,2.80,2.80
2019-09-01 15:00:00,1.41,0.39,2.05,3.33,2.19,0.38,1.69,2.57,3.05,3.00,3.00
2019-09-01 16:00:00,1.54,0.42,2.23,3.62,2.39,0.41,1.84,2.79,3.32,3.26,3.26
2019-09-01 17:00:00,1.57,0.43,2.28,3.71,2.44,0.42,1.88,2.86,3.40,3.34,3.34
2019-09-01 18:00:00,1.48,0.41,2.15,3.49,2.30,0.40,1.77,2.69,3.20,3.15,3.15
2019-09-01 19:00:00,1.14,0.31,1.66,2.69,1.77,0.30,1.36,2.08,2.46,2.42,2.42
2019-09-01 20:00:00,0.71,0.20,1.03,1.67,1.10,0.19,0.84,1.29,1.53,1.50,1.50
2019-09-01 21:00:00,0.61,0.17,0.89,1.45,0.95,0.16,0.73,1.12,1.33,1.30,1.30
2019-09-01 22:00:00,0.76,0.21,1.10,1.79,1.18,0.20,0.91,1.38,1.64,1.61,1.61
2019-09-01 23:00:00,0.87,0.24,1.26,2.04,1.35,0.23,1.04,1.58,1.87,1.84,1.84
2019-09-02 00:00:00,1.57,0.43,2.28,3.70,2.44,0.42,1.88,2.85,3.39,3.33,3.33
2019-09-02 01:00:00,1.64,0.45,2.38,3.86,2.54,0.44,1.96,2.98,3.54,3.48,3.48
2019-09-02 02:00:00,1.49,0.41,2.16,3.50,2.31,0.40,1.78,2.70,3.21,3.16,3.16
2019-09-02 03:00:00,1.94,0.53,2.81,4.57,3.01,0.52,2.32,3.52,4.19,4.12,4.12
2019-09-02 04:00:00,1.94,0.53,2.81,4.56,3.01,0.52,2.31,3.52,4.18,4.11,4.11
2019-09-02 05:00:00,1.75,0.48,2.55,4.13,2.72,0.47,2.10,3.19,3.79,3.73,3.73
2019-09-02 06:00:00,1.69,0.47,2.45,3.97,2.62,0.45,2.02,3.07,3.64,3.58,3.58
2019-09-02 07:00:00,1.59,0.44,2.30,3.74,2.46,0.42,1.90,2.88,3.43,3.37,3.37
2019-09-02 08:00:00,1.44,0.40,2.09,3.39,2.24,0.38,1.72,2.62,3.11,3.06,3.06
2019-09-02 09:00:00,1.58,0.44,2.30,3.73,2.46,0.42,1.89,2.88,3.42,3.36,3.36
2019-09-02 10:00:00,1.71,0.47,2.48,4.03,2.66,0.46,2.04,3.11,3.69,3.63,3.63
2019-09-02 11:00:00,1.69,0.47,2.45,3.98,2.63,0.45,2.02,3.07,3.65,3.59,3.59
2019-09-02 12:00:00,1.56,0.43,2.26,3.68,2.42,0.42,1.86,2.84,3.37,3.31,3.31
2019-09-02 13:00:00,1.34,0.37,1.95,3.17,2.09,0.36,1.61,2.44,2.90,2.85,2.85
2019-09-02 14:00:00,1.32,0.37,1.92,3.12,2.06,0.35,1.58,2.41,2.86,2.81,2.81
2019-09-02 15:00:00,1.42,0.39,2.06,3.34,2.20,0.38,1.69,2.58,3.06,3.01,3.01
2019-09-02 16:00:00,1.54,0.42,2.23,3.62,2.39,0.41,1.84,2.79,3.32,3.26,3.26
2019-09-02 17:00:00,1.57,0.43,2.28,3.70,2.44,0.42,1.88,2.85,3.39,3.33,3.33
2019-09-02 18:00:00,1.48,0.41,2.14,3.48,2.29,0.39,1.77,2.68,3.19,3.14,3.14
2019-09-02 19:00:00,1.13,0.31,1.64,2.67,1.76,0.30,1.35,2.06,2.44,2.40,2.40
2019-09-02 20:00:00,0.69,0.19,1.01,1.63,1.08,0.19,0.83,1.26,1.50,1.47,1.47
2019-09-02 21:00:00,0.60,0.16,0.87,1.41,0.93,0.16,0.71,1.09,1.29,1.27,1.27
2019-09-02 22:00:00,0.75,0.21,1.08,1.76,1.16,0.20,0.89,1.36,1.61,1.58,1.58
2019-09-02 23:00:00,0.86,0.24,1.24,2.02,1.33,0.23,1.02,1.56,1.85,1.82,1.82
2019-09-03 00:00:00,1.57,0.43,2.28,3.70,2.44,0.42,1.88,2.86,3.39,3.34,3.34
2019-09-03 01:00:00,1.64,0.45,2.38,3.87,2.55,0.44,1.96,2.98,3.54,3.49,3.49
2019-09-03 02:00:00,1.49,0.41,2.16,3.51,2.32,0.40,1.78,2.71,3.22,3.17,3.17
2019-09-03 03:00:00,1.96,0.54,2.84,4.61,3.04,0.52,2.34,3.55,4.22,4.15,4.15
2019-09-03 04:00:00,1.95,0.54,2.83,4.60,3.03,0.52,2.33,3.55,4.21,4.14,4.14
2019-09-03 05:00:00,1.77,0.49,2.56,4.17,2.74,0.47,2.11,3.21,3.82,3.75,3.75
2019-09-03 06:00:00,1.72,0.47,2.49,4.04,2.66,0.46,2.05,3.12,3.70,3.64,3.64
2019-09-03 07:00:00,1.53,0.42,2.22,3.61,2.38,0.41,1.83,2.78,3.31,3.25,3.25
2019-09-03 08:00:00,1.43,0.40,2.08,3.38,2.22,0.38,1.71,2.60,3.09,3.04,3.04
2019-09-03 09:00:00,1.56,0.43,2.26,3.68,2.42,0.42,1.86,2.84,3.37,3.31,3.31
2019-09-03 10:00:00,1.68,0.46,2.44,3.96,2.61,0.45,2.01,3.06,3.63,3.57,3.57
2019-09-03 11:00:00,1.66,0.46,2.41,3.91,2.58,0.44,1.99,3.02,3.59,3.53,3.53
2019-09-03 12:00:00,1.52,0.42,2.20,3.58,2.36,0.41,1.81,2.76,3.28,3.22,3.22
2019-09-03 13:00:00,1.28,0.35,1.86,3.02,1.99,0.34,1.53,2.33,2.76,2.72,2.72
2019-09-03 14:00:00,1.27,0.35,1.84,3.00,1.97,0.34,1.52,2.31,2.75,2.70,2.70
2019-09-03 15:00:00,1.45,0.40,2.11,3.43,2.26,0.39,1.74,2.64,3.14,3.09,3.09
2019-09-03 16:00:00,1.71,0.47,2.48,4.03,2.66,0.46,2.05,3.11,3.70,3.64,3.64
2019-09-03 17:00:00,1.91,0.53,2.77,4.50,2.96,0.51,2.28,3.47,4.12,4.05,4.05
2019-09-03 18:00:00,1.78,0.49,2.59,4.21,2.77,0.48,2.13,3.24,3.85,3.79,3.79
2019-09-03 19:00:00,1.33,0.37,1.93,3.13,2.06,0.35,1.59,2.42,2.87,2.82,2.82
2019-09-03 20:00:00,0.86,0.24,1.24,2.02,1.33,0.23,1.02,1.56,1.85,1.82,1.82
2019-09-03 21:00:00,0.69,0.19,1.01,1.63,1.08,0.19,0.83,1.26,1.50,1.47,1.47
2019-09-03 22:00:00,0.87,0.24,1.26,2.04,1.35,0.23,1.04,1.58,1.87,1.84,1.84
2019-09-03 23:00:00,0.80,0.22,1.17,1.89,1.25,0.21,0.96,1.46,1.74,1.71,1.71
2019-09-04 00:00:00,1.28,0.35,1.86,3.02,1.99,0.34,1.53,2.33,2.77,2.72,2.72
2019-09-04 01:00:00,1.45,0.40,2.11,3.43,2.26,0.39,1.74,2.64,3.14,3.09,3.09
2019-09-04 02:00:00,1.44,0.40,2.09,3.39,2.24,0.38,1.72,2.62,3.11,3.06,3.06
2019-09-04 03:00:00,1.73,0.48,2.51,4.08,2.69,0.46,2.07,3.15,3.74,3.68,3.68
2019-09-04 04:00:00,1.36,0.37,1.97,3.20,2.11,0.36,1.62,2.47,2.93,2.89,2.89
2019-09-04 05:00:00,0.97,0.27,1.40,2.27,1.50,0.26,1.15,1.75,2.08,2.05,2.05
2019-09-04 06:00:00,0.85,0.23,1.23,2.00,1.32,0.23,1.01,1.54,1.83,1.80,1.80
2019-09-04 07:00:00,0.91,0.25,1.32,2.14,1.41,0.24,1.09,1.65,1.96,1.93,1.93
2019-09-04 08:00:00,0.82,0.23,1.18,1.92,1.27,0.22,0.98,1.48,1.76,1.73,1.73
2019-09-04 09:00:00,0.89,0.25,1.29,2.10,1.38,0.24,1.06,1.62,1.92,1.89,1.89
2019-09-04 10:00:00,1.14,0.32,1.66,2.70,1.78,0.31,1.37,2.08,2.47,2.43,2.43
2019-09-04 11:00:00,1.15,0.32,1.67,2.71,1.79,0.31,1.38,2.09,2.49,2.45,2.45
2019-09-04 12:00:00,1.09,0.30,1.58,2.57,1.69,0.29,1.30,1.98,2.35,2.31,2.31
2019-09-04 13:00:00,1.01,0.28,1.46,2.38,1.57,0.27,1.20,1.83,2.18,2.14,2.14
2019-09-04 14:00:00,1.10,0.30,1.60,2.60,1.71,0.29,1.32,2.01,2.38,2.34,2.34
2019-09-04 15:00:00,1.41,0.39,2.05,3.33,2.20,0.38,1.69,2.57,3.05,3.00,3.00
2019-09-04 16:00:00,1.81,0.50,2.63,4.27,2.81,0.48,2.16,3.29,3.91,3.85,3.85
2019-09-04 17:00:00,1.94,0.54,2.82,4.58,3.02,0.52,2.32,3.53,4.20,4.13,4.13
2019-09-04 18:00:00,1.80,0.50,2.61,4.24,2.79,0.48,2.15,3.27,3.89,3.82,3.82
2019-09-04 19:00:00,1.49,0.41,2.16,3.50,2.31,0.40,1.78,2.70,3.21,3.16,3.16
2019-09-04 20:00:00,1.02,0.28,1.48,2.41,1.59,0.27,1.22,1.86,2.21,2.17,2.17
2019-09-04 21:00:00,0.79,0.22,1.15,1.87,1.23,0.21,0.95,1.44,1.71,1.69,1.69
2019-09-04 22:00:00,0.98,0.27,1.42,2.31,1.52,0.26,1.17,1.78,2.11,2.08,2.08
2019-09-04 23:00:00,0.90,0.25,1.31,2.12,1.40,0.24,1.08,1.64,1.94,1.91,1.91
2019-09-05 00:00:00,1.32,0.36,1.92,3.11,2.05,0.35,1.58,2.40,2.85,2.81,2.81
2019-09-05 01:00:00,1.47,0.41,2.13,3.47,2.28,0.39,1.76,2.67,3.18,3.12,3.12
2019-09-05 02:00:00,1.44,0.40,2.09,3.39,2.23,0.38,1.72,2.61,3.10,3.05,3.05
2019-09-05 03:00:00,1.69,0.47,2.45,3.99,2.63,0.45,2.02,3.08,3.65,3.59,3.59
2019-09-05 04:00:00,1.20,0.33,1.74,2.82,1.86,0.32,1.43,2.18,2.59,2.54,2.54
2019-09-05 05:00:00,0.76,0.21,1.10,1.78,1.17,0.20,0.90,1.37,1.63,1.61,1.61
2019-09-05 06:00:00,0.55,0.15,0.79,1.29,0.85,0.15,0.65,0.99,1.18,1.16,1.16
2019-09-05 07:00:00,0.53,0.15,0.78,1.26,0.83,0.14,0.64,0.97,1.15,1.13,1.13
2019-09-05 08:00:00,0.48,0.13,0.69,1.12,0.74,0.13,0.57,0.87,1.03,1.01,1.01
2019-09-05 09:00:00,0.61,0.17,0.88,1.43,0.95,0.16,0.73,1.11,1.31,1.29,1.29
2019-09-05 10:00:00,0.90,0.25,1.31,2.13,1.40,0.24,1.08,1.64,1.95,1.92,1.92
2019-09-05 11:00:00,0.94,0.26,1.36,2.21,1.45,0.25,1.12,1.70,2.02,1.99,1.99
2019-09-05 12:00:00,0.90,0.25,1.31,2.12,1.40,0.24,1.08,1.64,1.94,1.91,1.91
2019-09-05 13:00:00,0.77,0.21,1.12,1.82,1.20,0.21,0.92,1.40,1.67,1.64,1.64
2019-09-05 14:00:00,0.85,0.23,1.23,2.00,1.32,0.23,1.01,1.54,1.83,1.80,1.80
2019-09-05 15:00:00,1.11,0.31,1.61,2.62,1.72,0.30,1.33,2.02,2.40,2.36,2.36
2019-09-05 16:00:00,1.41,0.39,2.04,3.32,2.19,0.38,1.68,2.56,3.04,2.99,2.99
2019-09-05 17:00:00,1.56,0.43,2.26,3.67,2.42,0.42,1.86,2.83,3.37,3.31,3.31
2019-09-05 18:00:00,1.48,0.41,2.15,3.50,2.30,0.40,1.77,2.70,3.20,3.15,3.15
2019-09-05 19:00:00,1.13,0.31,1.64,2.67,1.76,0.30,1.35,2.06,2.45,2.41,2.41
2019-09-05 20:00:00,0.70,0.19,1.01,1.64,1.08,0.19,0.83,1.26,1.50,1.48,1.48
2019-09-05 21:00:00,0.60,0.17,0.87,1.42,0.94,0.16,0.72,1.10,1.30,1.28,1.28
2019-09-05 22:00:00,0.75,0.21,1.10,1.78,1.17,0.20,0.90,1.37,1.63,1.60,1.60
2019-09-05 23:00:00,0.85,0.24,1.24,2.01,1.32,0.23,1.02,1.55,1.84,1.81,1.81
2019-09-06 00:00:00,1.67,0.46,2.42,3.93,2.59,0.45,1.99,3.03,3.60,3.54,3.54
2019-09-06 01:00:00,1.77,0.49,2.57,4.17,2.75,0.47,2.11,3.22,3.82,3.76,3.76
2019-09-06 02:00:00,1.55,0.43,2.25,3.66,2.41,0.42,1.86,2.83,3.36,3.30,3.30
2019-09-06 03:00:00,2.11,0.58,3.06,4.98,3.28,0.56,2.53,3.84,4.56,4.49,4.49
2019-09-06 04:00:00,2.07,0.57,3.00,4.87,3.21,0.55,2.47,3.76,4.46,4.39,4.39
2019-09-06 05:00:00,1.87,0.52,2.72,4.42,2.91,0.50,2.24,3.41,4.05,3.98,3.98
2019-09-06 06:00:00,1.81,0.50,2.63,4.27,2.81,0.48,2.16,3.29,3.91,3.84,3.84
2019-09-06 07:00:00,1.68,0.46,2.43,3.95,2.60,0.45,2.00,3.05,3.62,3.56,3.56
2019-09-06 08:00:00,1.51,0.42,2.19,3.56,2.35,0.40,1.81,2.75,3.26,3.21,3.21
2019-09-06 09:00:00,1.47,0.41,2.13,3.46,2.28,0.39,1.76,2.67,3.17,3.12,3.12
2019-09-06 10:00:00,1.67,0.46,2.42,3.93,2.59,0.45,1.99,3.03,3.60,3.54,3.54
2019-09-06 11:00:00,1.71,0.47,2.48,4.03,2.66,0.46,2.04,3.11,3.69,3.63,3.63
2019-09-06 12:00:00,1.60,0.44,2.32,3.77,2.48,0.43,1.91,2.91,3.45,3.40,3.40
2019-09-06 13:00:00,1.37,0.38,1.99,3.23,2.13,0.37,1.64,2.50,2.96,2.91,2.91
2019-09-06 14:00:00,1.35,0.37,1.96,3.18,2.10,0.36,1.61,2.45,2.92,2.87,2.87
2019-09-06 15:00:00,1.44,0.40,2.08,3.38,2.23,0.38,1.72,2.61,3.10,3.05,3.05
2019-09-06 16:00:00,1.54,0.42,2.23,3.63,2.39,0.41,1.84,2.80,3.32,3.27,3.27
2019-09-06 17:00:00,1.56,0.43,2.26,3.66,2.41,0.42,1.86,2.83,3.36,3.30,3.30
2019-09-06 18:00:00,1.46,0.40,2.11,3.43,2.26,0.39,1.74,2.65,3.14,3.09,3.09
2019-09-06 19:00:00,1.09,0.30,1.58,2.57,1.69,0.29,1.30,1.98,2.35,2.32,2.32
2019-09-06 20:00:00,0.60,0.17,0.87,1.41,0.93,0.16,0.72,1.09,1.29,1.27,1.27
2019-09-06 21:00:00,0.53,0.15,0.77,1.25,0.83,0.14,0.64,0.97,1.15,1.13,1.13
2019-09-06 22:00:00,0.69,0.19,1.00,1.62,1.07,0.18,0.82,1.25,1.49,1.46,1.46
2019-09-06 23:00:00,0.81,0.22,1.18,1.91,1.26,0.22,0.97,1.47,1.75,1.72,1.72
2019-09-07 00:00:00,1.58,0.44,2.29,3.72,2.45,0.42,1.89,2.87,3.41,3.35,3.35
2019-09-07 01:00:00,1.65,0.46,2.40,3.89,2.57,0.44,1.97,3.00,3.57,3.51,3.51
2019-09-07 02:00:00,1.52,0.42,2.20,3.57,2.35,0.40,1.81,2.75,3.27,3.22,3.22
2019-09-07 03:00:00,2.03,0.56,2.94,4.77,3.15,0.54,2.42,3.68,4.37,4.30,4.30
2019-09-07 04:00:00,2.11,0.58,3.06,4.98,3.28,0.56,2.52,3.84,4.56,4.48,4.48
2019-09-07 05:00:00,1.92,0.53,2.79,4.53,2.98,0.51,2.30,3.49,4.15,4.08,4.08
2019-09-07 06:00:00,1.86,0.51,2.70,4.38,2.89,0.50,2.22,3.38,4.01,3.95,3.95
2019-09-07 07:00:00,1.72,0.47,2.49,4.05,2.67,0.46,2.06,3.13,3.71,3.65,3.65
2019-09-07 08:00:00,1.55,0.43,2.25,3.65,2.41,0.41,1.85,2.82,3.35,3.29,3.29
2019-09-07 09:00:00,1.46,0.40,2.12,3.44,2.27,0.39,1.74,2.65,3.15,3.10,3.10
2019-09-07 10:00:00,1.67,0.46,2.43,3.94,2.60,0.45,2.00,3.04,3.61,3.56,3.56
2019-09-07 11:00:00,1.73,0.48,2.51,4.07,2.68,0.46,2.07,3.14,3.73,3.67,3.67
2019-09-07 12:00:00,1.62,0.45,2.35,3.82,2.52,0.43,1.94,2.94,3.50,3.44,3.44
2019-09-07 13:00:00,1.39,0.38,2.02,3.28,2.16,0.37,1.66,2.53,3.00,2.95,2.95
2019-09-07 14:00:00,1.37,0.38,1.98,3.22,2.12,0.37,1.63,2.49,2.95,2.90,2.90
2019-09-07 15:00:00,1.45,0.40,2.11,3.42,2.25,0.39,1.73,2.64,3.13,3.08,3.08
2019-09-07 16:00:00,1.55,0.43,2.25,3.66,2.41,0.41,1.86,2.82,3.35,3.30,3.30
2019-09-07 17:00:00,1.57,0.43,2.27,3.69,2.43,0.42,1.87,2.85,3.38,3.33,3.33
2019-09-07 18:00:00,1.46,0.40,2.12,3.45,2.27,0.39,1.75,2.66,3.16,3.11,3.11
2019-09-07 19:00:00,1.10,0.30,1.59,2.58,1.70,0.29,1.31,1.99,2.37,2.33,2.33
2019-09-07 20:00:00,0.59,0.16,0.86,1.39,0.92,0.16,0.71,1.07,1.28,1.25,1.25
2019-09-07 21:00:00,0.53,0.15,0.77,1.25,0.82,0.14,0.63,0.96,1.14,1.13,1.13
2019-09-07 22:00:00,0.69,0.19,1.00,1.62,1.07,0.18,0.82,1.25,1.48,1.46,1.46
2019-09-07 23:00:00,0.81,0.22,1.18,1.92,1.26,0.22,0.97,1.48,1.76,1.73,1.73
2019-09-08 00:00:00,1.59,0.44,2.31,3.75,2.47,0.42,1.90,2.89,3.43,3.38,3.38
2019-09-08 01:00:00,1.67,0.46,2.42,3.93,2.59,0.45,1.99,3.03,3.60,3.54,3.54
2019-09-08 02:00:00,1.53,0.42,2.22,3.61,2.38,0.41,1.83,2.79,3.31,3.25,3.25
2019-09-08 03:00:00,2.05,0.57,2.98,4.84,3.19,0.55,2.45,3.73,4.43,4.36,4.36
2019-09-08 04:00:00,2.18,0.60,3.16,5.13,3.38,0.58,2.60,3.96,4.70,4.62,4.62
2019-09-08 05:00:00,1.99,0.55,2.89,4.70,3.09,0.53,2.38,3.62,4.30,4.23,4.23
2019-09-08 06:00:00,1.93,0.53,2.80,4.55,3.00,0.52,2.31,3.51,4.17,4.10,4.10
2019-09-08 07:00:00,1.79,0.49,2.59,4.21,2.77,0.48,2.13,3.25,3.86,3.79,3.79
2019-09-08 08:00:00,1.61,0.44,2.34,3.80,2.50,0.43,1.93,2.93,3.48,3.42,3.42
2019-09-08 09:00:00,1.47,0.41,2.13,3.46,2.28,0.39,1.76,2.67,3.17,3.12,3.12
2019-09-08 10:00:00,1.70,0.47,2.47,4.00,2.64,0.45,2.03,3.09,3.67,3.61,3.61
2019-09-08 11:00:00,1.76,0.49,2.56,4.16,2.74,0.47,2.11,3.21,3.81,3.75,3.75
2019-09-08 12:00:00,1.65,0.46,2.40,3.90,2.57,0.44,1.98,3.01,3.57,3.51,3.51
2019-09-08 13:00:00,1.42,0.39,2.06,3.35,2.21,0.38,1.70,2.58,3.07,3.02,3.02
2019-09-08 14:00:00,1.40,0.39,2.03,3.29,2.17,0.37,1.67,2.54,3.02,2.97,2.97
2019-09-08 15:00:00,1.48,0.41,2.15,3.49,2.30,0.40,1.77,2.69,3.20,3.14,3.14
2019-09-08 16:00:00,1.58,0.44,2.29,3.72,2.45,0.42,1.89,2.87,3.41,3.36,3.36
2019-09-08 17:00:00,1.59,0.44,2.31,3.75,2.47,0.43,1.90,2.89,3.44,3.38,3.38
2019-09-08 18:00:00,1.49,0.41,2.16,3.51,2.31,0.40,1.78,2.71,3.21,3.16,3.16
2019-09-08 19:00:00,1.12,0.31,1.62,2.63,1.73,0.30,1.33,2.03,2.41,2.37,2.37
2019-09-08 20:00:00,0.60,0.16,0.87,1.41,0.93,0.16,0.71,1.08,1.29,1.27,1.27
2019-09-08 21:00:00,0.54,0.15,0.78,1.27,0.84,0.14,0.65,0.98,1.17,1.15,1.15
2019-09-08 22:00:00,0.70,0.19,1.01,1.64,1.08,0.19,0.83,1.27,1.51,1.48,1.48
2019-09-08 23:00:00,0.83,0.23,1.20,1.94,1.28,0.22,0.99,1.50,1.78,1.75,1.75
2019-09-09 00:00:00,1.61,0.44,2.34,3.80,2.50,0.43,1.93,2.93,3.48,3.43,3.43
2019-09-09 01:00:00,1.69,0.47,2.45,3.98,2.62,0.45,2.02,3.07,3.65,3.59,3.59
2019-09-09 02:00:00,1.56,0.43,2.26,3.68,2.42,0.42,1.86,2.84,3.37,3.31,3.31
2019-09-09 03:00:00,2.09,0.58,3.04,4.93,3.25,0.56,2.50,3.81,4.52,4.45,4.45
2019-09-09 04:00:00,2.25,0.62,3.26,5.30,3.49,0.60,2.69,4.09,4.86,4.78,4.78
2019-09-09 05:00:00,2.08,0.57,3.01,4.89,3.22,0.55,2.48,3.77,4.48,4.41,4.41
2019-09-09 06:00:00,2.02,0.56,2.93,4.75,3.13,0.54,2.41,3.67,4.36,4.28,4.28
2019-09-09 07:00:00,1.86,0.51,2.70,4.39,2.89,0.50,2.23,3.39,4.03,3.96,3.96
2019-09-09 08:00:00,1.69,0.47,2.45,3.97,2.62,0.45,2.02,3.07,3.64,3.58,3.58
2019-09-09 09:00:00,1.49,0.41,2.16,3.51,2.31,0.40,1.78,2.71,3.22,3.16,3.16
2019-09-09 10:00:00,1.73,0.48,2.52,4.09,2.69,0.46,2.07,3.15,3.75,3.68,3.68
2019-09-09 11:00:00,1.81,0.50,2.62,4.26,2.81,0.48,2.16,3.29,3.90,3.84,3.84
2019-09-09 12:00:00,1.69,0.47,2.46,3.99,2.63,0.45,2.03,3.08,3.66,3.60,3.60
2019-09-09 13:00:00,1.46,0.40,2.12,3.44,2.27,0.39,1.74,2.65,3.15,3.10,3.10
2019-09-09 14:00:00,1.43,0.40,2.08,3.38,2.23,0.38,1.71,2.61,3.10,3.05,3.05
2019-09-09 15:00:00,1.52,0.42,2.20,3.57,2.35,0.40,1.81,2.76,3.27,3.22,3.22
2019-09-09 16:00:00,1.62,0.45,2.34,3.81,2.51,0.43,1.93,2.94,3.49,3.43,3.43
2019-09-09 17:00:00,1.62,0.45,2.36,3.83,2.52,0.43,1.94,2.95,3.51,3.45,3.45
2019-09-09 18:00:00,1.52,0.42,2.21,3.58,2.36,0.41,1.82,2.77,3.28,3.23,3.23
2019-09-09 19:00:00,1.15,0.32,1.66,2.70,1.78,0.31,1.37,2.08,2.47,2.43,2.43
2019-09-09 20:00:00,0.61,0.17,0.89,1.44,0.95,0.16,0.73,1.11,1.32,1.30,1.30
2019-09-09 21:00:00,0.56,0.15,0.81,1.31,0.87,0.15,0.67,1.01,1.20,1.18,1.18
2019-09-09 22:00:00,0.71,0.20,1.04,1.68,1.11,0.19,0.85,1.30,1.54,1.52,1.52
2019-09-09 23:00:00,0.84,0.23,1.23,1.99,1.31,0.23,1.01,1.54,1.82,1.79,1.79
2019-09-10 00:00:00,1.64,0.45,2.38,3.87,2.55,0.44,1.96,2.98,3.54,3.48,3.48
2019-09-10 01:00:00,1.72,0.47,2.50,4.05,2.67,0.46,2.06,3.13,3.71,3.65,3.65
2019-09-10 02:00:00,1.59,0.44,2.31,3.75,2.47,0.43,1.90,2.90,3.44,3.38,3.38
2019-09-10 03:00:00,2.14,0.59,3.10,5.04,3.32,0.57,2.56,3.89,4.62,4.54,4.54
2019-09-10 04:00:00,2.31,0.64,3.35,5.44,3.58,0.62,2.76,4.19,4.98,4.90,4.90
2019-09-10 05:00:00,2.14,0.59,3.11,5.05,3.33,0.57,2.56,3.90,4.63,4.55,4.55
2019-09-10 06:00:00,2.11,0.58,3.06,4.96,3.27,0.56,2.52,3.83,4.55,4.47,4.47
2019-09-10 07:00:00,1.86,0.51,2.69,4.38,2.88,0.50,2.22,3.38,4.01,3.94,3.94
2019-09-10 08:00:00,1.74,0.48,2.52,4.09,2.69,0.46,2.07,3.15,3.75,3.68,3.68
2019-09-10 09:00:00,1.52,0.42,2.20,3.58,2.36,0.41,1.82,2.76,3.28,3.23,3.23
2019-09-10 10:00:00,1.75,0.48,2.54,4.13,2.72,0.47,2.09,3.18,3.78,3.72,3.72
2019-09-10 11:00:00,1.81,0.50,2.63,4.28,2.82,0.48,2.17,3.30,3.92,3.85,3.85
2019-09-10 12:00:00,1.68,0.46,2.43,3.95,2.60,0.45,2.00,3.05,3.62,3.56,3.56
2019-09-10 13:00:00,1.42,0.39,2.05,3.34,2.20,0.38,1.69,2.57,3.06,3.01,3.01
2019-09-10 14:00:00,1.40,0.39,2.04,3.31,2.18,0.37,1.68,2.55,3.03,2.98,2.98
2019-09-10 15:00:00,1.59,0.44,2.31,3.75,2.47,0.43,1.90,2.89,3.44,3.38,3.38
2019-09-10 16:00:00,1.86,0.51,2.70,4.39,2.89,0.50,2.23,3.38,4.02,3.95,3.95
2019-09-10 17:00:00,2.07,0.57,3.00,4.88,3.21,0.55,2.47,3.76,4.47,4.40,4.40
2019-09-10 18:00:00,1.93,0.53,2.80,4.55,3.00,0.52,2.31,3.51,4.17,4.10,4.10
2019-09-10 19:00:00,1.43,0.39,2.07,3.36,2.21,0.38,1.70,2.59,3.08,3.03,3.03
2019-09-10 20:00:00,0.85,0.23,1.23,2.00,1.32,0.23,1.02,1.55,1.84,1.81,1.81
2019-09-10 21:00:00,0.71,0.20,1.03,1.68,1.10,0.19,0.85,1.29,1.54,1.51,1.51
2019-09-10 22:00:00,0.90,0.25,1.30,2.11,1.39,0.24,1.07,1.63,1.94,1.90,1.90
2019-09-10 23:00:00,0.82,0.22,1.18,1.92,1.27,0.22,0.97,1.48,1.76,1.73,1.73
2019-09-11 00:00:00,1.32,0.36,1.92,3.12,2.05,0.35,1.58,2.40,2.86,2.81,2.81
2019-09-11 01:00:00,1.53,0.42,2.21,3.59,2.37,0.41,1.82,2.77,3.29,3.24,3.24
